time,open,high,low,close,volume
1675255500,12157.5,12162.0,12153.25,12153.75,550
1675255800,12153.25,12154.0,12141.25,12150.5,1374
1675256100,12150.5,12158.75,12148.75,12154.25,959
1675256400,12153.75,12154.75,12142.25,12143.0,1204
1675256700,12142.75,12148.0,12142.25,12146.75,780
1675257000,12146.5,12146.75,12134.0,12137.5,1632
1675257300,12137.0,12159.0,12133.0,12137.25,4405
1675257600,12137.25,12150.75,12136.75,12141.5,1890
1675257900,12141.0,12148.25,12136.0,12139.75,994
1675258200,12139.25,12149.0,12136.5,12141.0,1614
1675258500,12141.0,12148.0,12139.75,12145.75,912
1675258800,12145.75,12145.75,12133.0,12140.25,1396
1675259100,12139.25,12144.75,12138.25,12143.5,616
1675259400,12142.25,12143.25,12135.75,12138.5,1058
